Week Starting,Week Ending,Required Searches,Date of Activity,Work Search Activity,Type of Job,Company Name,Address,City,State,Zip Code,Phone,Email,Contact Method,Person Contacted,Results,Notes
2026-03-22,2026-03-28,4,2026-03-23,Searched online,,,,,,,,,,flexjobs.com,,,"Searched FlexJobs for 30 minutes"
2026-03-22,2026-03-28,4,2026-03-24,Searched online,,,,,,,,,,flexjobs.com,,,"Searched FlexJobs for 30 minutes"
2026-03-22,2026-03-28,4,2026-03-25,Applied for job,Technical Program Management,Iterable,,,,,,,greenhouse.io,,Application submitted,"Applied for Senior Engineering Operations TPM via Greenhouse"
2026-03-22,2026-03-28,4,2026-03-28,Searched online,,,,,,,,,,flexjobs.com,,,"Searched FlexJobs for 30 minutes"
