Week Starting,Week Ending,Required Searches,Date of Activity,Work Search Activity,Type of Job,Company Name,Address,City,State,Zip Code,Phone,Email,Contact Method,Person Contacted,Results,Notes
2026-02-08,2026-02-14,4,2026-02-09,Applied for job,Microservices Engineering,Canonical,,,,,,flexjobs.com,flexjobs.com,,Applied,"Microservices Engineer"
2026-02-08,2026-02-14,4,2026-02-09,Applied for job,Software Engineering / Customer Data,ngrok,,,Remote,,,flexjobs.com,flexjobs.com,,Applied,"Software Engineer III - Senior, Customer Data"
2026-02-08,2026-02-14,4,2026-02-10,Searched online,Software Engineering,,,,,,,MyRecruitMilitary.com,MyRecruitMilitary.com,,No new applications,"Searched for 30 minutes"
2026-02-08,2026-02-14,4,2026-02-11,Searched online,Software Engineering,,,,,,,flexjobs.com,flexjobs.com,,No new applications,"Searched for 45 minutes"
2026-02-08,2026-02-14,4,2026-02-12,Searched online,Software Engineering,,,,,,,Online job boards,,,"No new applications","Searched for 60 minutes"
2026-02-08,2026-02-14,4,2026-02-13,Searched online,Software Engineering,,,,,,,MyRecruitMilitary.com,MyRecruitMilitary.com,,No new applications,"Searched for 30 minutes"
