Week Starting,Week Ending,Required Searches,Date of Activity,Work Search Activity,Type of Job,Company Name,Address,City,State,Zip Code,Phone,Email,Contact Method,Person Contacted,Results,Notes
2026-02-22,2026-02-28,4,2026-02-23,Searched online,Software Engineering,,,,,,,flexjobs.com,flexjobs.com,,Reviewing 3 positions,"Searched for 30 minutes"
2026-02-22,2026-02-28,4,2026-02-23,Applied for job,Software Engineering (Python),Cambium Learning Group,,,,,,,flexjobs.com,,Application submitted,Applied,"Applied via FlexJobs"
2026-02-22,2026-02-28,4,2026-02-23,Applied for job,AI Software Engineering (Python),G2i,,,,,,,flexjobs.com,,Application submitted,Applied,"$30-70/hr freelance, applied via FlexJobs"
2026-02-22,2026-02-28,4,2026-02-23,Applied for job,Software Engineering (Python),PatientPoint,,,,,,,Online,,Application submitted,Applied,"$130k/yr, applied via Greenhouse"
2026-02-22,2026-02-28,4,2026-02-23,Applied for job,Full Stack Engineering,Pearson,,Austin,TX,,,,Online,,Application submitted,Applied,"Former employer, applied via LinkedIn"
